pX,pY,pZ,roll,pitch,yaw,timestep
0.12,0.32261,0.2086287,0.001516297,-0.0003210422,-0.0017639,2129898
0.12,0.3309681,0.2141189,0.001553863,-0.0003287274,-0.001809577,2150363
0.12,0.3560423,0.2305896,0.001591429,-0.0003229656,-0.001847998,2163600
0.12,0.3644003,0.2360798,0.001627287,-0.0003265953,-0.001895809,2183462
0.12,0.3727584,0.24157,0.001627287,-0.0003265953,-0.001895809,2197514
0.12,0.3727584,0.24157,0.001664853,-0.0003308656,-0.001952585,2216138
0.12,0.3811165,0.2470603,0.001710957,-0.000336203,-0.001983962,2231470
0.12,0.3811165,0.2470603,0.001757487,-0.0003389793,-0.002034121,2248573
0.12,0.3811165,0.2470603,0.001798041,-0.0003423959,-0.002084067,2263632
0.12,0.3811165,0.2470603,0.001833473,-0.0003481602,-0.002124195,2282377
0.12,0.3811165,0.2470603,0.001833473,-0.0003481602,-0.002124195,2299700
0.12,0.3811165,0.2470603,0.001870611,-0.0003500826,-0.002170725,2313632
0.12,0.3811165,0.2470603,0.001908604,-0.0003547798,-0.002212987,2332671
0.12,0.3811165,0.2470603,0.00194062,-0.000351793,-0.002259518,2346613
0.12,0.3811165,0.2470603,0.001982455,-0.0003569174,-0.002312879,2363116
0.12,0.3811165,0.2470603,0.002019167,-0.0003594802,-0.002353007,2382669
0.12,0.3811165,0.2470603,0.002019167,-0.0003594802,-0.002353007,2398990
0.12,0.3811165,0.2470603,0.002059295,-0.0003552128,-0.002391426,2415270
0.12,0.3811165,0.2470603,0.002099635,-0.0003637524,-0.002445215,2432151
0.12,0.3811165,0.2470603,0.002136133,-0.0003722917,-0.002493026,2448457
0.12,0.3811165,0.2470603,0.002175834,-0.0003789103,-0.002544253,2463227
0.12,0.3811165,0.2470603,0.002219803,-0.0003722954,-0.002587795,2481914
0.12,0.3811165,0.2470603,0.002219803,-0.0003722954,-0.002587795,2498207
0.12,0.3811165,0.2470603,0.002257369,-0.0003833962,-0.002633045,2514626
0.12,0.3811165,0.2470603,0.002292373,-0.0003778485,-0.002680857,2531753
0.1200001,0.1323035,0.2470603,0.0023325,-0.0003776369,-0.002729522,2556832
0.1200001,-0.1204334,0.2470604,0.002366651,-0.0003808403,-0.002772424,2567483
0.1200001,-0.1204334,0.2470604,0.002366651,-0.0003808403,-0.002772424,2579949
0.119785,-0.06808352,0.2470772,356.3743,0.8588606,5.133043,2596559
0.1191174,-0.001109079,0.2475444,351.0263,1.443378,1.139667,2615059
0.1181266,0.01320577,0.2472249,348.0919,1.653456,0.1151834,2631281
0.116622,0.02245918,0.2482352,342.3818,2.199627,358.1063,2647889
0.1150785,0.02796084,0.2489579,337.4847,2.89516,356.123,2664908
0.1139259,0.03039141,0.2482757,335.9686,2.622444,356.2667,2681663
0.1139259,0.03039141,0.2482757,335.9686,2.622444,356.2667,2698186
0.1128355,0.02879614,0.2477653,334.1009,2.112118,356.4492,2714827
0.1104069,0.02643499,0.2474948,333.8553,1.201526,358.3388,2729161
0.1082239,0.02518722,0.2484448,334.4863,0.5636055,359.8831,2747960
0.1073017,0.0242682,0.2504851,335.8965,0.1327323,0.5366243,2764582
0.1073926,0.02311277,0.2535309,338.025,0.1666781,0.500582,2780591
0.1073926,0.02311277,0.2535309,338.025,0.1666781,0.500582,2796263
0.1077607,0.0213325,0.2575395,340.9709,0.2306129,0.2043719,2814609
0.1080208,0.01875825,0.2626058,344.7687,0.2468238,0.008972484,2831683
0.1081177,0.01508227,0.2687326,349.5289,0.2320848,359.9539,2848703
0.108145,0.009915873,0.2758662,355.3789,0.2317627,359.9729,2865174
0.1079921,0.006490797,0.2810689,359.7951,0.1742044,0.07650591,2881689
0.1079921,0.006490797,0.2810689,359.7951,0.1742044,0.07650591,2898117
0.1074424,0.00617373,0.2828252,1.109555,0.08154263,0.4839728,2914684
0.1073353,0.005783245,0.2824716,0.8830107,0.1134828,0.5573543,2931433
0.1077334,0.005136833,0.2815938,0.3118814,0.1651698,0.229892,2949878
0.1080644,0.005043939,0.2811837,359.9484,0.1869999,0.0395458,2966527
0.1081389,0.005026698,0.2811289,359.8922,0.1816377,359.9736,2983463
0.1081389,0.005026698,0.2811289,359.8922,0.1816377,359.9736,2999469
0.1081104,0.005015314,0.2812219,359.9376,0.1771448,359.9785,3016469
0.1080799,0.005005181,0.2812835,359.9937,0.1737544,-0.005563564,3032865
0.1080702,0.005001888,0.2813002,0.01017477,0.1734357,0.001468951,3048915
0.1080713,0.005002081,0.2812964,0.007250868,0.1738868,0.001846832,3063762
0.1080713,0.005002081,0.2812964,0.007250868,0.1738868,0.001846832,3079457
0.1080748,0.005003184,0.2812881,-0.0002323466,0.1743161,7.883416E-05,3101461
0.1080748,0.005003184,0.2812881,-0.0002323466,0.1743161,7.883416E-05,3117951
0.1080749,0.005003244,0.2812878,-0.0005531548,0.1743189,-5.996536E-05,3133890
0.1080748,0.005003214,0.2812881,-0.0002765945,0.1742758,-1.877681E-05,3146666
0.1080747,0.005003184,0.2812884,-5.125752E-05,0.1742728,2.041264E-05,3167169
0.1080747,0.005003184,0.2812884,-5.125752E-05,0.1742728,2.041264E-05,3179088
0.1080747,0.005003169,0.2812884,2.38339E-05,0.1742672,4.720729E-05,3199736
0.1080747,0.005003169,0.2812884,1.701865E-05,0.1742661,3.737852E-05,3217286
0.1080747,0.005003154,0.2812884,3.368026E-06,0.1742606,3.095446E-05,3232480
0.1080747,0.005003169,0.2812884,-3.469628E-06,0.174283,3.585326E-05,3249891
0.1080747,0.005003169,0.2812884,-3.469628E-06,0.174283,3.585326E-05,3265993
0.1080747,0.005003169,0.2812884,-3.469628E-06,0.174283,3.585326E-05,3282641
0.1080747,0.005003169,0.2812884,-3.469628E-06,0.174283,3.585326E-05,3299753
0.1080747,0.005003169,0.2812884,-3.469628E-06,0.174283,3.585326E-05,3314684
0.1080747,0.005003169,0.2812884,-3.469628E-06,0.174283,3.585326E-05,3333719
0.1080747,0.005003169,0.2812884,-3.469628E-06,0.174283,3.585326E-05,3348464
0.1080747,0.005003169,0.2812884,-3.469628E-06,0.174283,3.585326E-05,3365846
0.1080747,0.005003169,0.2812884,-3.469628E-06,0.174283,3.585326E-05,3380201
0.1080747,0.005003169,0.2812884,-3.469628E-06,0.174283,3.585326E-05,3400113
0.1080747,0.005003169,0.2812884,-3.469628E-06,0.174283,3.585326E-05,3413331
0.1080747,0.005003169,0.2812884,-3.469628E-06,0.174283,3.585326E-05,3434361
0.1080747,0.005003169,0.2812884,-3.469628E-06,0.174283,3.585326E-05,3447559
0.1080747,0.005003169,0.2812884,-3.469628E-06,0.174283,3.585326E-05,3466520
0.1080747,0.005003169,0.2812884,-3.469628E-06,0.174283,3.585326E-05,3481297
0.1080747,0.005003169,0.2812884,-3.469628E-06,0.174283,3.585326E-05,3497398
0.1080747,0.005003169,0.2812884,-3.469628E-06,0.174283,3.585326E-05,3517262
0.1080747,0.005003169,0.2812884,-3.469628E-06,0.174283,3.585326E-05,3534141
